./mnist-linear.py 0.2 0.2 0.5 > teste1.log

Validação:  0.7517857142857143
Teste:      0.7550714285714286
Classification Report:                precision    recall  f1-score   support

           0       0.74      0.91      0.82      1343
           1       0.81      0.92      0.86      1600
           2       0.74      0.80      0.77      1380
           3       0.76      0.69      0.73      1433
           4       0.74      0.73      0.73      1295
           5       0.71      0.52      0.60      1273
           6       0.79      0.85      0.82      1396
           7       0.86      0.82      0.84      1503
           8       0.67      0.69      0.68      1357
           9       0.68      0.58      0.63      1420

    accuracy                           0.76     14000
   macro avg       0.75      0.75      0.75     14000
weighted avg       0.75      0.76      0.75     14000

