./mnist-linear.py 0.1 0.2 0.5 > teste2.log

Validação:  0.7442857142857143
Teste:      0.7465714285714286
Classification Report:                precision    recall  f1-score   support

           0       0.84      0.86      0.85       683
           1       0.88      0.94      0.91       800
           2       0.74      0.79      0.76       674
           3       0.78      0.71      0.74       760
           4       0.63      0.63      0.63       611
           5       0.63      0.48      0.54       658
           6       0.80      0.80      0.80       677
           7       0.83      0.84      0.83       724
           8       0.66      0.70      0.68       693
           9       0.63      0.66      0.64       720

    accuracy                           0.75      7000
   macro avg       0.74      0.74      0.74      7000
weighted avg       0.74      0.75      0.74      7000

