./mnist-linear.py 0.2 0.1 0.8 > teste8.log

Validação:  0.8626785714285714
Teste:      0.8729285714285714
Classification Report:                precision    recall  f1-score   support

           0       0.91      0.95      0.93      1343
           1       0.91      0.94      0.93      1600
           2       0.90      0.82      0.86      1380
           3       0.85      0.86      0.85      1433
           4       0.84      0.92      0.88      1295
           5       0.80      0.79      0.79      1273
           6       0.93      0.93      0.93      1396
           7       0.86      0.92      0.89      1503
           8       0.83      0.79      0.81      1357
           9       0.90      0.79      0.84      1420

    accuracy                           0.87     14000
   macro avg       0.87      0.87      0.87     14000
weighted avg       0.87      0.87      0.87     14000

