./mnist-linear.py 0.2 0.1 0.4 > teste6.log

Validação:  0.6803571428571429
Teste:      0.695
Classification Report:                precision    recall  f1-score   support

           0       0.70      0.88      0.78      1343
           1       0.76      0.93      0.84      1600
           2       0.73      0.70      0.72      1380
           3       0.67      0.57      0.62      1433
           4       0.65      0.48      0.55      1295
           5       0.53      0.60      0.56      1273
           6       0.81      0.76      0.78      1396
           7       0.79      0.83      0.81      1503
           8       0.73      0.47      0.57      1357
           9       0.56      0.65      0.60      1420

    accuracy                           0.69     14000
   macro avg       0.69      0.69      0.68     14000
weighted avg       0.70      0.69      0.69     14000

